AssociationCount	SEMMEDDBSubject	SEMMEDBSubjectName	SEMMEDDBPredicate	SEMMEDDBObject	SEMMEDDBObjectName	BiolinkSubject	BiolinkPredicate	BiolinkObject	ComponentMissing	ValidEdge?
591700	bpoc	Body Part, Organ, or Organ Component	PART_OF	bpoc	Body Part, Organ, or Organ Component	biolink:GrossAnatomicalStructure	biolink:part_of	biolink:GrossAnatomicalStructure	None	True
580770	bacs	Biologically Active Substance	PART_OF	aapp	Amino Acid, Peptide, or Protein	biolink:SmallMolecule	biolink:part_of	biolink:Polypeptide	None	True
552142	spco	Spatial Concept	LOCATION_OF	cell	Cell	biolink:InformationContentEntity	biolink:location_of	biolink:Cell	None	True
536553	cell	Cell	LOCATION_OF	celf	Cell Function	biolink:Cell	biolink:location_of	biolink:PhysiologicalProcess	None	True
530698	aapp	Amino Acid, Peptide, or Protein	INTERACTS_WITH	aapp	Amino Acid, Peptide, or Protein	biolink:Polypeptide	biolink:interacts_with	biolink:Polypeptide	None	True
526121	topp	Therapeutic or Preventive Procedure	ADMINISTERED_TO	humn	Human	biolink:Procedure	biolink:affects		humn	False
517242	aapp	Amino Acid, Peptide, or Protein	STIMULATES	gngm	Gene or Genome	biolink:Polypeptide		biolink:GenomicEntity	STIMULATES	False
501880	aapp	Amino Acid, Peptide, or Protein	ASSOCIATED_WITH	dsyn	Disease or Syndrome	biolink:Polypeptide	biolink:related_to	biolink:Disease	None	True
500873	dsyn	Disease or Syndrome	COEXISTS_WITH	dsyn	Disease or Syndrome	biolink:Disease	biolink:coexists_with	biolink:Disease	None	True
479161	bpoc	Body Part, Organ, or Organ Component	LOCATION_OF	diap	Diagnostic Procedure	biolink:GrossAnatomicalStructure	biolink:location_of	biolink:Procedure	None	True
468560	cell	Cell	PART_OF	humn	Human	biolink:Cell	biolink:part_of		humn	False
457911	aapp	Amino Acid, Peptide, or Protein	ISA	aapp	Amino Acid, Peptide, or Protein	biolink:Polypeptide	biolink:subclass_of	biolink:Polypeptide	None	False
456252	bpoc	Body Part, Organ, or Organ Component	LOCATION_OF	inpo	Injury or Poisoning	biolink:GrossAnatomicalStructure	biolink:location_of	biolink:PathologicalProcess	None	True
453776	topp	Therapeutic or Preventive Procedure	ISA	topp	Therapeutic or Preventive Procedure	biolink:Procedure	biolink:subclass_of	biolink:Procedure	None	False
445589	tisu	Tissue	PART_OF	bpoc	Body Part, Organ, or Organ Component	biolink:GrossAnatomicalStructure	biolink:part_of	biolink:GrossAnatomicalStructure	None	True
427940	inbe	Individual Behavior	PROCESS_OF	humn	Human	biolink:Behavior	biolink:occurs_in		humn	False
427638	hlca	Health Care Activity	TREATS	humn	Human	biolink:Activity	biolink:treats		humn	False
421599	tisu	Tissue	LOCATION_OF	aapp	Amino Acid, Peptide, or Protein	biolink:GrossAnatomicalStructure	biolink:location_of	biolink:Polypeptide	None	True
406554	aapp	Amino Acid, Peptide, or Protein	PART_OF	humn	Human	biolink:Polypeptide	biolink:part_of		humn	False
402635	phsu	Pharmacologic Substance	TREATS	mamm	Mammal	biolink:Drug	biolink:treats		mamm	False
397746	celc	Cell Component	LOCATION_OF	aapp	Amino Acid, Peptide, or Protein	biolink:CellularComponent	biolink:location_of	biolink:Polypeptide	None	True
391782	cell	Cell	PART_OF	mamm	Mammal	biolink:Cell	biolink:part_of		mamm	False
385871	bdsu	Body Substance	LOCATION_OF	bacs	Biologically Active Substance		biolink:location_of	biolink:SmallMolecule	bdsu	False
383162	genf	Genetic Function	PROCESS_OF	gngm	Gene or Genome		biolink:occurs_in	biolink:GenomicEntity	genf	False
376557	topp	Therapeutic or Preventive Procedure	USES	medd	Medical Device	biolink:Procedure	biolink:has_input	biolink:Device	None	False
368958	hcro	Health Care Related Organization	LOCATION_OF	resa	Research Activity	biolink:Agent	biolink:location_of	biolink:Activity	None	True
357320	gngm	Gene or Genome	ASSOCIATED_WITH	neop	Neoplastic Process	biolink:GenomicEntity	biolink:related_to	biolink:Disease	None	True
355833	cell	Cell	PRODUCES	aapp	Amino Acid, Peptide, or Protein	biolink:Cell	biolink:produces	biolink:Polypeptide	None	True
349587	topp	Therapeutic or Preventive Procedure	PRECEDES	topp	Therapeutic or Preventive Procedure	biolink:Procedure	biolink:precedes	biolink:Procedure	None	True
348569	gngm	Gene or Genome	INTERACTS_WITH	cell	Cell	biolink:GenomicEntity	biolink:interacts_with	biolink:Cell	None	True
328661	lbpr	Laboratory Procedure	USES	aapp	Amino Acid, Peptide, or Protein	biolink:Procedure	biolink:has_input	biolink:Polypeptide	None	False
319324	aapp	Amino Acid, Peptide, or Protein	ASSOCIATED_WITH	neop	Neoplastic Process	biolink:Polypeptide	biolink:related_to	biolink:Disease	None	True
317410	gngm	Gene or Genome	LOCATION_OF	genf	Genetic Function	biolink:GenomicEntity	biolink:location_of		genf	False
316589	mamm	Mammal	LOCATION_OF	aapp	Amino Acid, Peptide, or Protein		biolink:location_of	biolink:Polypeptide	mamm	False
315702	bdsu	Body Substance	PART_OF	humn	Human		biolink:part_of		humn	False
312632	diap	Diagnostic Procedure	USES	lbpr	Laboratory Procedure	biolink:Procedure	biolink:has_input	biolink:Procedure	None	False
305297	diap	Diagnostic Procedure	ADMINISTERED_TO	humn	Human	biolink:Procedure	biolink:affects		humn	False
294088	dsyn	Disease or Syndrome	CAUSES	dsyn	Disease or Syndrome	biolink:Disease	biolink:causes	biolink:Disease	None	True
293788	diap	Diagnostic Procedure	DIAGNOSES	dsyn	Disease or Syndrome	biolink:Procedure	biolink:diagnoses	biolink:Disease	None	False
281208	bpoc	Body Part, Organ, or Organ Component	LOCATION_OF	orch	Organic Chemical	biolink:GrossAnatomicalStructure	biolink:location_of	biolink:SmallMolecule	None	True
280740	aapp	Amino Acid, Peptide, or Protein	COEXISTS_WITH	gngm	Gene or Genome	biolink:Polypeptide	biolink:coexists_with	biolink:GenomicEntity	None	True
280660	ortf	Organ or Tissue Function	PROCESS_OF	humn	Human	biolink:PhysiologicalProcess	biolink:occurs_in		humn	False
278626	orch	Organic Chemical	ISA	phsu	Pharmacologic Substance	biolink:SmallMolecule	biolink:subclass_of	biolink:Drug	None	False
278240	aapp	Amino Acid, Peptide, or Protein	INHIBITS	aapp	Amino Acid, Peptide, or Protein	biolink:Polypeptide		biolink:Polypeptide	INHIBITS	False
271719	lbpr	Laboratory Procedure	USES	lbpr	Laboratory Procedure	biolink:Procedure	biolink:has_input	biolink:Procedure	None	False
265511	aapp	Amino Acid, Peptide, or Protein	PART_OF	celc	Cell Component	biolink:Polypeptide	biolink:part_of	biolink:CellularComponent	None	True
260004	bdsu	Body Substance	LOCATION_OF	orch	Organic Chemical		biolink:location_of	biolink:SmallMolecule	bdsu	False
257554	topp	Therapeutic or Preventive Procedure	TREATS	fndg	Finding	biolink:Procedure	biolink:treats	biolink:DiseaseOrPhenotypicFeature	None	False
254275	bpoc	Body Part, Organ, or Organ Component	LOCATION_OF	medd	Medical Device	biolink:GrossAnatomicalStructure	biolink:location_of	biolink:Device	None	True
250240	fndg	Finding	COEXISTS_WITH	dsyn	Disease or Syndrome	biolink:DiseaseOrPhenotypicFeature	biolink:coexists_with	biolink:Disease	None	True
250057	orch	Organic Chemical	INHIBITS	gngm	Gene or Genome	biolink:SmallMolecule		biolink:GenomicEntity	INHIBITS	False
246266	gngm	Gene or Genome	PART_OF	humn	Human	biolink:GenomicEntity	biolink:part_of		humn	False
245721	hlca	Health Care Activity	TREATS	dsyn	Disease or Syndrome	biolink:Activity	biolink:treats	biolink:Disease	None	False
240177	aapp	Amino Acid, Peptide, or Protein	AFFECTS	celf	Cell Function	biolink:Polypeptide	biolink:affects	biolink:PhysiologicalProcess	None	True
240104	patf	Pathologic Function	COEXISTS_WITH	dsyn	Disease or Syndrome	biolink:PathologicalProcess	biolink:coexists_with	biolink:Disease	None	True
238521	aapp	Amino Acid, Peptide, or Protein	PART_OF	bpoc	Body Part, Organ, or Organ Component	biolink:Polypeptide	biolink:part_of	biolink:GrossAnatomicalStructure	None	True
238135	aapp	Amino Acid, Peptide, or Protein	STIMULATES	cell	Cell	biolink:Polypeptide		biolink:Cell	STIMULATES	False
237477	neop	Neoplastic Process	ISA	neop	Neoplastic Process	biolink:Disease	biolink:subclass_of	biolink:Disease	None	False
234873	celc	Cell Component	PART_OF	cell	Cell	biolink:CellularComponent	biolink:part_of	biolink:Cell	None	True
232160	topp	Therapeutic or Preventive Procedure	TREATS	popg	Population Group	biolink:Procedure	biolink:treats	biolink:PopulationOfIndividualOrganisms	None	False
230149	moft	Molecular Function	PROCESS_OF	cell	Cell	biolink:MolecularActivity	biolink:occurs_in	biolink:Cell	None	True
228467	orgf	Organism Function	PROCESS_OF	mamm	Mammal	biolink:PhysiologicalProcess	biolink:occurs_in		mamm	False
227504	phsu	Pharmacologic Substance	TREATS	neop	Neoplastic Process	biolink:Drug	biolink:treats	biolink:Disease	None	True
222237	aapp	Amino Acid, Peptide, or Protein	PART_OF	cell	Cell	biolink:Polypeptide	biolink:part_of	biolink:Cell	None	True
220215	topp	Therapeutic or Preventive Procedure	METHOD_OF	topp	Therapeutic or Preventive Procedure	biolink:Procedure		biolink:Procedure	METHOD_OF	False
219247	topp	Therapeutic or Preventive Procedure	TREATS	aggp	Age Group	biolink:Procedure	biolink:treats	biolink:Cohort	None	False
217854	topp	Therapeutic or Preventive Procedure	compared_with	topp	Therapeutic or Preventive Procedure	biolink:Procedure	biolink:related_to	biolink:Procedure	None	True
217394	aapp	Amino Acid, Peptide, or Protein	PART_OF	mamm	Mammal	biolink:Polypeptide	biolink:part_of		mamm	False
217091	topp	Therapeutic or Preventive Procedure	TREATS	mamm	Mammal	biolink:Procedure	biolink:treats		mamm	False
214426	blor	Body Location or Region	LOCATION_OF	neop	Neoplastic Process		biolink:location_of	biolink:Disease	blor	False
214350	blor	Body Location or Region	LOCATION_OF	dsyn	Disease or Syndrome		biolink:location_of	biolink:Disease	blor	False
211146	topp	Therapeutic or Preventive Procedure	TREATS	patf	Pathologic Function	biolink:Procedure	biolink:treats	biolink:PathologicalProcess	None	False
210246	plnt	Plant	LOCATION_OF	aapp	Amino Acid, Peptide, or Protein		biolink:location_of	biolink:Polypeptide	plnt	False
209445	resa	Research Activity	USES	topp	Therapeutic or Preventive Procedure	biolink:Activity	biolink:has_input	biolink:Procedure	None	False
207766	patf	Pathologic Function	PROCESS_OF	mamm	Mammal	biolink:PathologicalProcess	biolink:occurs_in		mamm	False
207613	bpoc	Body Part, Organ, or Organ Component	LOCATION_OF	sosy	Sign or Symptom	biolink:GrossAnatomicalStructure	biolink:location_of	biolink:PhenotypicFeature	None	True
205642	gngm	Gene or Genome	ASSOCIATED_WITH	dsyn	Disease or Syndrome	biolink:GenomicEntity	biolink:related_to	biolink:Disease	None	True
204219	bpoc	Body Part, Organ, or Organ Component	LOCATION_OF	anab	Anatomical Abnormality	biolink:GrossAnatomicalStructure	biolink:location_of	biolink:Disease	None	True
201284	orch	Organic Chemical	ISA	topp	Therapeutic or Preventive Procedure	biolink:SmallMolecule	biolink:subclass_of	biolink:Procedure	None	False
200980	gngm	Gene or Genome	STIMULATES	gngm	Gene or Genome	biolink:GenomicEntity		biolink:GenomicEntity	STIMULATES	False
200545	bpoc	Body Part, Organ, or Organ Component	LOCATION_OF	bacs	Biologically Active Substance	biolink:GrossAnatomicalStructure	biolink:location_of	biolink:SmallMolecule	None	True
197864	neop	Neoplastic Process	PROCESS_OF	mamm	Mammal	biolink:Disease	biolink:occurs_in		mamm	False
196612	phsu	Pharmacologic Substance	TREATS	fndg	Finding	biolink:Drug	biolink:treats	biolink:DiseaseOrPhenotypicFeature	None	True
189190	cell	Cell	LOCATION_OF	orch	Organic Chemical	biolink:Cell	biolink:location_of	biolink:SmallMolecule	None	True
188842	invt	unmappped	ISA	invt	unmappped		biolink:subclass_of		invt	False
186837	phsf	Physiologic Function	PROCESS_OF	humn	Human	biolink:PhysiologicalProcess	biolink:occurs_in		humn	False
185492	humn	Human	LOCATION_OF	bdsu	Body Substance		biolink:location_of		bdsu	False
181845	aapp	Amino Acid, Peptide, or Protein	ISA	topp	Therapeutic or Preventive Procedure	biolink:Polypeptide	biolink:subclass_of	biolink:Procedure	None	False
179253	gngm	Gene or Genome	INTERACTS_WITH	aapp	Amino Acid, Peptide, or Protein	biolink:GenomicEntity	biolink:interacts_with	biolink:Polypeptide	None	True
167024	orch	Organic Chemical	ADMINISTERED_TO	humn	Human	biolink:SmallMolecule	biolink:affects		humn	False
166701	dsyn	Disease or Syndrome	AFFECTS	humn	Human	biolink:Disease	biolink:affects		humn	False
164500	blor	Body Location or Region	LOCATION_OF	bpoc	Body Part, Organ, or Organ Component		biolink:location_of	biolink:GrossAnatomicalStructure	blor	False
164132	aapp	Amino Acid, Peptide, or Protein	INTERACTS_WITH	gngm	Gene or Genome	biolink:Polypeptide	biolink:interacts_with	biolink:GenomicEntity	None	True
162726	phsu	Pharmacologic Substance	TREATS	popg	Population Group	biolink:Drug	biolink:treats	biolink:PopulationOfIndividualOrganisms	None	False
161458	virs	Virus	PROCESS_OF	humn	Human		biolink:occurs_in		humn	False
159670	tisu	Tissue	PART_OF	mamm	Mammal	biolink:GrossAnatomicalStructure	biolink:part_of		mamm	False
158758	aapp	Amino Acid, Peptide, or Protein	INTERACTS_WITH	bacs	Biologically Active Substance	biolink:Polypeptide	biolink:interacts_with	biolink:SmallMolecule	None	True
155567	gngm	Gene or Genome	CAUSES	celf	Cell Function	biolink:GenomicEntity	biolink:causes	biolink:PhysiologicalProcess	None	True
155191	tisu	Tissue	LOCATION_OF	topp	Therapeutic or Preventive Procedure	biolink:GrossAnatomicalStructure	biolink:location_of	biolink:Procedure	None	True
154746	sosy	Sign or Symptom	ASSOCIATED_WITH	dsyn	Disease or Syndrome	biolink:PhenotypicFeature	biolink:related_to	biolink:Disease	None	True
154419	orch	Organic Chemical	STIMULATES	gngm	Gene or Genome	biolink:SmallMolecule		biolink:GenomicEntity	STIMULATES	False
154372	cell	Cell	LOCATION_OF	neop	Neoplastic Process	biolink:Cell	biolink:location_of	biolink:Disease	None	True
153411	topp	Therapeutic or Preventive Procedure	TREATS	sosy	Sign or Symptom	biolink:Procedure	biolink:treats	biolink:PhenotypicFeature	None	False
153388	dsyn	Disease or Syndrome	COEXISTS_WITH	fndg	Finding	biolink:Disease	biolink:coexists_with	biolink:DiseaseOrPhenotypicFeature	None	True
153246	bacs	Biologically Active Substance	PART_OF	celc	Cell Component	biolink:SmallMolecule	biolink:part_of	biolink:CellularComponent	None	True
152968	plnt	Plant	LOCATION_OF	orch	Organic Chemical		biolink:location_of	biolink:SmallMolecule	plnt	False
152940	cell	Cell	INTERACTS_WITH	gngm	Gene or Genome	biolink:Cell	biolink:interacts_with	biolink:GenomicEntity	None	True
151087	lbpr	Laboratory Procedure	METHOD_OF	lbpr	Laboratory Procedure	biolink:Procedure		biolink:Procedure	METHOD_OF	False
150389	diap	Diagnostic Procedure	DIAGNOSES	neop	Neoplastic Process	biolink:Procedure	biolink:diagnoses	biolink:Disease	None	False
149852	lbpr	Laboratory Procedure	MEASURES	aapp	Amino Acid, Peptide, or Protein	biolink:Procedure	biolink:quantifier_qualifier	biolink:Polypeptide	None	False
147331	hlca	Health Care Activity	USES	diap	Diagnostic Procedure	biolink:Activity	biolink:has_input	biolink:Procedure	None	False
147330	gngm	Gene or Genome	PRODUCES	aapp	Amino Acid, Peptide, or Protein	biolink:GenomicEntity	biolink:produces	biolink:Polypeptide	None	True
145831	tisu	Tissue	PART_OF	humn	Human	biolink:GrossAnatomicalStructure	biolink:part_of		humn	False
144839	blor	Body Location or Region	LOCATION_OF	fndg	Finding		biolink:location_of	biolink:DiseaseOrPhenotypicFeature	blor	False
144384	gngm	Gene or Genome	INHIBITS	gngm	Gene or Genome	biolink:GenomicEntity		biolink:GenomicEntity	INHIBITS	False
143400	lbpr	Laboratory Procedure	DIAGNOSES	dsyn	Disease or Syndrome	biolink:Procedure	biolink:diagnoses	biolink:Disease	None	False
143212	blor	Body Location or Region	LOCATION_OF	diap	Diagnostic Procedure		biolink:location_of	biolink:Procedure	blor	False
140922	ortf	Organ or Tissue Function	PROCESS_OF	mamm	Mammal	biolink:PhysiologicalProcess	biolink:occurs_in		mamm	False
140563	celc	Cell Component	PART_OF	bpoc	Body Part, Organ, or Organ Component	biolink:CellularComponent	biolink:part_of	biolink:GrossAnatomicalStructure	None	True
139505	gngm	Gene or Genome	INTERACTS_WITH	gngm	Gene or Genome	biolink:GenomicEntity	biolink:interacts_with	biolink:GenomicEntity	None	True
137215	bact	Bacterium	LOCATION_OF	aapp	Amino Acid, Peptide, or Protein		biolink:location_of	biolink:Polypeptide	bact	False
136143	aapp	Amino Acid, Peptide, or Protein	STIMULATES	moft	Molecular Function	biolink:Polypeptide		biolink:MolecularActivity	STIMULATES	False
135900	gngm	Gene or Genome	AFFECTS	celf	Cell Function	biolink:GenomicEntity	biolink:affects	biolink:PhysiologicalProcess	None	True
134572	bacs	Biologically Active Substance	STIMULATES	gngm	Gene or Genome	biolink:SmallMolecule		biolink:GenomicEntity	STIMULATES	False
134197	phsu	Pharmacologic Substance	ADMINISTERED_TO	humn	Human	biolink:Drug	biolink:affects		humn	False
133622	cgab	Congenital Abnormality	PART_OF	humn	Human	biolink:Disease	biolink:part_of		humn	False
132975	bpoc	Body Part, Organ, or Organ Component	LOCATION_OF	acab	Acquired Abnormality	biolink:GrossAnatomicalStructure	biolink:location_of	biolink:Disease	None	True
132436	orch	Organic Chemical	ISA	orch	Organic Chemical	biolink:SmallMolecule	biolink:subclass_of	biolink:SmallMolecule	None	False
131982	orgt	Organization	LOCATION_OF	resa	Research Activity	biolink:Agent	biolink:location_of	biolink:Activity	None	True
131013	aapp	Amino Acid, Peptide, or Protein	AFFECTS	orgf	Organism Function	biolink:Polypeptide	biolink:affects	biolink:PhysiologicalProcess	None	True
130312	genf	Genetic Function	PROCESS_OF	humn	Human		biolink:occurs_in		humn	False
128739	cell	Cell	PART_OF	tisu	Tissue	biolink:Cell	biolink:part_of	biolink:GrossAnatomicalStructure	None	True
128566	neop	Neoplastic Process	COEXISTS_WITH	neop	Neoplastic Process	biolink:Disease	biolink:coexists_with	biolink:Disease	None	True
127131	dsyn	Disease or Syndrome	NEG_PROCESS_OF	humn	Human	biolink:Disease			NEG_PROCESS_OF	False
126469	bacs	Biologically Active Substance	ASSOCIATED_WITH	dsyn	Disease or Syndrome	biolink:SmallMolecule	biolink:related_to	biolink:Disease	None	True
126041	orch	Organic Chemical	compared_with	orch	Organic Chemical	biolink:SmallMolecule	biolink:related_to	biolink:SmallMolecule	None	True
125067	lbpr	Laboratory Procedure	METHOD_OF	topp	Therapeutic or Preventive Procedure	biolink:Procedure		biolink:Procedure	METHOD_OF	False
123737	tisu	Tissue	PART_OF	neop	Neoplastic Process	biolink:GrossAnatomicalStructure	biolink:part_of	biolink:Disease	None	True
121891	bacs	Biologically Active Substance	PART_OF	bpoc	Body Part, Organ, or Organ Component	biolink:SmallMolecule	biolink:part_of	biolink:GrossAnatomicalStructure	None	True
121579	diap	Diagnostic Procedure	DIAGNOSES	fndg	Finding	biolink:Procedure	biolink:diagnoses	biolink:DiseaseOrPhenotypicFeature	None	False
121204	cell	Cell	LOCATION_OF	genf	Genetic Function	biolink:Cell	biolink:location_of		genf	False
120317	aapp	Amino Acid, Peptide, or Protein	AFFECTS	moft	Molecular Function	biolink:Polypeptide	biolink:affects	biolink:MolecularActivity	None	True
119950	aapp	Amino Acid, Peptide, or Protein	compared_with	aapp	Amino Acid, Peptide, or Protein	biolink:Polypeptide	biolink:related_to	biolink:Polypeptide	None	True
119547	bpoc	Body Part, Organ, or Organ Component	LOCATION_OF	cgab	Congenital Abnormality	biolink:GrossAnatomicalStructure	biolink:location_of	biolink:Disease	None	True
119004	orch	Organic Chemical	INTERACTS_WITH	aapp	Amino Acid, Peptide, or Protein	biolink:SmallMolecule	biolink:interacts_with	biolink:Polypeptide	None	True
118488	bacs	Biologically Active Substance	INTERACTS_WITH	aapp	Amino Acid, Peptide, or Protein	biolink:SmallMolecule	biolink:interacts_with	biolink:Polypeptide	None	True
118065	medd	Medical Device	USES	phsu	Pharmacologic Substance	biolink:Device	biolink:has_input	biolink:Drug	None	False
117501	dsyn	Disease or Syndrome	CAUSES	patf	Pathologic Function	biolink:Disease	biolink:causes	biolink:PathologicalProcess	None	True
117348	bact	Bacterium	CAUSES	dsyn	Disease or Syndrome		biolink:causes	biolink:Disease	bact	False
117239	dsyn	Disease or Syndrome	PREDISPOSES	dsyn	Disease or Syndrome	biolink:Disease	biolink:predisposes	biolink:Disease	None	True
116953	aapp	Amino Acid, Peptide, or Protein	CAUSES	dsyn	Disease or Syndrome	biolink:Polypeptide	biolink:causes	biolink:Disease	None	True
116599	phsu	Pharmacologic Substance	TREATS	aggp	Age Group	biolink:Drug	biolink:treats	biolink:Cohort	None	False
115250	topp	Therapeutic or Preventive Procedure	TREATS	inpo	Injury or Poisoning	biolink:Procedure	biolink:treats	biolink:PathologicalProcess	None	False
114428	orch	Organic Chemical	TREATS	neop	Neoplastic Process	biolink:SmallMolecule	biolink:treats	biolink:Disease	None	True
113869	topp	Therapeutic or Preventive Procedure	USES	antb	Antibiotic	biolink:Procedure	biolink:has_input	biolink:Drug	None	False
113572	medd	Medical Device	USES	medd	Medical Device	biolink:Device	biolink:has_input	biolink:Device	None	False
112766	resa	Research Activity	USES	medd	Medical Device	biolink:Activity	biolink:has_input	biolink:Device	None	False
112371	popg	Population Group	ISA	popg	Population Group	biolink:PopulationOfIndividualOrganisms	biolink:subclass_of	biolink:PopulationOfIndividualOrganisms	None	False
111832	medd	Medical Device	USES	mnob	Manufactured Object	biolink:Device	biolink:has_input	biolink:PhysicalEntity	None	False
110739	orgf	Organism Function	ASSOCIATED_WITH	dsyn	Disease or Syndrome	biolink:PhysiologicalProcess	biolink:related_to	biolink:Disease	None	True
110267	phsf	Physiologic Function	PROCESS_OF	bpoc	Body Part, Organ, or Organ Component	biolink:PhysiologicalProcess	biolink:occurs_in	biolink:GrossAnatomicalStructure	None	True
109651	tisu	Tissue	LOCATION_OF	lbpr	Laboratory Procedure	biolink:GrossAnatomicalStructure	biolink:location_of	biolink:Procedure	None	True
109615	medd	Medical Device	TREATS	podg	Patient or Disabled Group	biolink:Device	biolink:treats	biolink:Cohort	None	False
108960	celf	Cell Function	PROCESS_OF	neop	Neoplastic Process	biolink:PhysiologicalProcess	biolink:occurs_in	biolink:Disease	None	True
107107	cell	Cell	INTERACTS_WITH	cell	Cell	biolink:Cell	biolink:interacts_with	biolink:Cell	None	True
107100	topp	Therapeutic or Preventive Procedure	PRECEDES	diap	Diagnostic Procedure	biolink:Procedure	biolink:precedes	biolink:Procedure	None	True
106814	diap	Diagnostic Procedure	ISA	diap	Diagnostic Procedure	biolink:Procedure	biolink:subclass_of	biolink:Procedure	None	False
105906	aapp	Amino Acid, Peptide, or Protein	ASSOCIATED_WITH	patf	Pathologic Function	biolink:Polypeptide	biolink:related_to	biolink:PathologicalProcess	None	True
105826	aapp	Amino Acid, Peptide, or Protein	PART_OF	virs	Virus	biolink:Polypeptide	biolink:part_of		virs	False
105239	aapp	Amino Acid, Peptide, or Protein	INTERACTS_WITH	orch	Organic Chemical	biolink:Polypeptide	biolink:interacts_with	biolink:SmallMolecule	None	True
105003	topp	Therapeutic or Preventive Procedure	TREATS	mobd	Mental or Behavioral Dysfunction	biolink:Procedure	biolink:treats	biolink:Disease	None	False
